CandidateName,CandidateLabel,Views,TrainOofPrecisionRecallAuc,TrainOofMatthewsCorrcoef,IndependentTestPrecisionRecallAuc,IndependentTestMatthewsCorrcoef,ChosenThresholdValue
baseline_mean_max,Mean + max pooling stack,"mean,max",0.6949836585863626,0.5333819281592088,0.39003241644690306,0.3139301161363769,0.6027088761329651
mean_max_concat,Mean + max + concat stack,"mean,max,concat",0.6897925087248777,0.5362231229402353,0.39864397771326276,0.29277537605321674,0.545933187007904
regularized_mean_max,Regularized mean + max stack,"mean,max",0.6610999050998053,0.5316989023691299,0.41141073749597407,0.45998233802053606,0.5297222137451172
