FoldIndex,StackPrAuc,StackRocAuc,CandidateName,MeanBestIteration,MeanPrAuc,MaxBestIteration,MaxPrAuc
1,0.7047598834711976,0.8288821954484605,baseline_mean_max,21,0.705228313982313,4,0.7028700055536838
2,0.688287133142232,0.8309571619812585,baseline_mean_max,3,0.624079722311714,28,0.7019259535224118
3,0.7970412263923099,0.8932920675502927,baseline_mean_max,29,0.7757865002784421,337,0.7995052348937443
4,0.7362245005157813,0.8552863137945038,baseline_mean_max,293,0.7168756256714246,352,0.7558410335469737
5,0.714880285800415,0.8447272235007446,baseline_mean_max,3,0.684765716267235,183,0.7109791676814956
