VariantName,VariantLabel,EvaluationSplit,ThresholdKey,ThresholdLabel,ThresholdValue,RocAuc,PrecisionRecallAuc,MatthewsCorrcoef,Accuracy,BalancedAccuracy,Precision,RecallSensitivity,Specificity,F1Score,F2Score,TrueNegative,FalsePositive,FalseNegative,TruePositive
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,default_0p5,Default threshold 0.5,0.5,0.8546790072605982,0.7386902513639013,0.5687122002003914,0.7996870109546166,0.7891115256947641,0.6977225672877847,0.7539149888143176,0.8243080625752106,0.7247311827956989,0.7419638925583444,685,146,110,337
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.5301147699356079,0.8546790072605982,0.7386902513639013,0.5729391815206764,0.8059467918622848,0.7861717507006194,0.7235955056179775,0.7203579418344519,0.851985559566787,0.7219730941704036,0.7210031347962382,708,123,125,322
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,TrainOOF,best_f2_on_train_oof,Best F2 threshold from train OOF,0.19974347949028015,0.8546790072605982,0.7386902513639013,0.4240484522453217,0.622848200312989,0.7027515970892997,0.48057713651498335,0.9686800894854586,0.4368231046931408,0.642433234421365,0.8051320193380439,363,468,14,433
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,default_0p5,Default threshold 0.5,0.5,0.7584567033330577,0.27563581092128286,0.2560274076742024,0.6183781069545569,0.7008440412728727,0.20300333704115683,0.8075221238938053,0.59416595865194,0.3244444444444444,0.5061009428729895,2098,1433,87,365
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,best_mcc_on_train_oof,Best MCC threshold from train OOF,0.5301147699356079,0.7584567033330577,0.27563581092128286,0.2560666727387234,0.6442380115490836,0.6990310849793109,0.2095123419626731,0.7699115044247787,0.6281506655338431,0.32938949361097963,0.5015854713173825,2218,1313,104,348
handcrafted_with_fs,ESM2 + AAC + DPC + aaIndex with feature selection,IndependentTest,best_f2_on_train_oof,Best F2 threshold from train OOF,0.19974347949028015,0.7584567033330577,0.27563581092128286,0.14605603482230184,0.3193572683906603,0.5948933967915029,0.1378647002244309,0.9513274336283186,0.23845935995468706,0.24082889946793615,0.43637101684595087,842,2689,22,430
