FoldIndex,BestIteration,ValidationRocAuc,ValidationPrecisionRecallAuc
1,44,0.8562248995983935,0.7402316009544833
2,107,0.8647590361445783,0.739373084660032
3,306,0.9075556751665209,0.8159978141259364
4,319,0.8738324082848247,0.7686371273470696
5,9,0.8396507377825911,0.7043345895948806
