FoldIndex,BestIteration,ValidationRocAuc,ValidationPrecisionRecallAuc
1,148,0.856091030789826,0.7304778307753589
2,24,0.8446117804551541,0.701002890966153
3,55,0.8790284599340645,0.7752457561516333
4,208,0.8416136455936103,0.6879302679045348
5,38,0.8426966292134831,0.7055477819019428
